Success Rate,Ecological Navigation Score,Navigation Score,Infraction Count (/m),Energy Consumption (J/m),FPS (/s),Route Completion (%),Avg. Route Deviation (m),Distance covered (km),Time taken (s),Number of steps taken by local model,Number of steps taken by global model
1,82.18050065876136,100.0,0.0,0.5170816675667322,114.94528934043079,100.0,0.18579904950793896,0.05200880247124823,55.31643295288086,499,53
1,80.33826638477784,100.0,0.0,0.5720448273609708,97.9713398603972,100.0,0.22655771124577273,0.05200880247124823,55.16712188720703,494,65
1,82.54020347883144,100.0,0.0,0.5141967654544144,117.9049980627329,100.0,0.14869733475975655,0.05200880247124823,54.10129714012146,503,51
1,78.98130238555748,100.0,0.0,0.6051559373070448,103.65149930209888,100.0,0.19540275306394553,0.05200880247124823,55.72695851325989,490,74
1,80.07876599934342,100.0,0.0,0.579354948415762,105.58046010818313,100.0,0.15087990778991772,0.05200880247124823,55.358417987823486,488,66
1,81.69103623649059,100.0,0.0,0.5394848087798677,117.57926085560472,100.0,0.15963981464775276,0.05200880247124823,55.92956495285034,514,58
1,80.91908091908076,100.0,0.0,0.5497614911440186,115.57489145643872,100.0,0.21779858870654678,0.05200880247124823,53.58952784538269,486,60
1,80.3083841953098,100.0,0.0,0.5757272537563571,98.73959131029419,100.0,0.25984636467777955,0.05200880247124823,55.76947259902954,500,66
1,81.29683936135532,100.0,0.0,0.5454474245847426,119.48785351839274,100.0,0.17675175446700042,0.05200880247124823,56.42426609992981,499,59
1,82.30519480519465,100.0,0.0,0.5092669870544023,118.56902242707129,100.0,0.1691231145133938,0.05200880247124823,54.98169445991516,507,53
1,81.39909735654398,100.0,0.0,0.542443528228857,117.57924488527756,100.0,0.1516509323053224,0.05200880247124823,55.6742799282074,505,59
1,82.18956886807666,100.0,0.0,0.5260666865095828,109.65327048570866,100.0,0.18495140697963555,0.05200880247124823,56.61052584648132,509,54
1,82.35104149846586,100.0,0.0,0.5156198848479041,121.07954783857065,100.0,0.20234282304966408,0.05200880247124823,55.66855192184448,510,53
1,81.51029006643962,100.0,0.0,0.5477504457952623,104.52447976532073,100.0,0.15098179437622983,0.05200880247124823,55.5981924533844,503,58
